ttf-ibmplex-mono-nerd 3.2.1-2
ttf-inconsolata-go-nerd 3.2.1-2
ttf-inconsolata-lgc-nerd 3.2.1-2
ttf-inconsolata-nerd 3.2.1-2
ttf-iosevka-nerd 3.2.1-2
ttf-iosevkaterm-nerd 3.2.1-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.2.1-2
ttf-lekton-nerd 3.2.1-2
ttf-liberation-mono-nerd 3.2.1-2
ttf-lilex-nerd 3.2.1-2
ttf-mac-fonts 20100901.134-1
ttf-maple 6.4-2
ttf-meslo-nerd 3.2.1-2
ttf-monofur-nerd 3.2.1-2
ttf-monoid-nerd 3.2.1-2
ttf-mononoki-nerd 3.2.1-2
ttf-mplus-nerd 3.2.1-2
ttf-ms-win11-auto 10.0.26100.1742-2
ttf-ms-win11-auto-japanese 10.0.26100.1742-2
ttf-ms-win11-auto-korean 10.0.26100.1742-2
ttf-ms-win11-auto-other 10.0.26100.1742-2
ttf-ms-win11-auto-sea 10.0.26100.1742-2
ttf-ms-win11-auto-thai 10.0.26100.1742-2
ttf-ms-win11-auto-zh_cn 10.0.26100.1742-2
ttf-ms-win11-auto-zh_tw 10.0.26100.1742-2
ttf-nerd-fonts-symbols 3.2.1-1
ttf-nerd-fonts-symbols-mono 3.2.1-1
ttf-noto-nerd 3.2.1-2
ttf-pretendard 1.3.9-1
ttf-profont-nerd 3.2.1-2
ttf-proggyclean-nerd 3.2.1-2
ttf-roboto-mono 3.000-3
ttf-roboto-mono-nerd 3.2.1-2
ttf-sharetech-mono-nerd 3.2.1-2
ttf-sourcecodepro-nerd 3.2.1-2
ttf-space-mono-nerd 3.2.1-2
ttf-tamzen-font-git 1:1.11.6.r1.3255e82-1
ttf-terminus-nerd 3.2.1-2
ttf-tinos-nerd 3.2.1-2
ttf-twemoji 15.1.0-1
ttf-ubuntu-mono-nerd 3.2.1-2
ttf-ubuntu-nerd 3.2.1-2
ttf-victor-mono 1.5.6-1
ttf-victor-mono-nerd 3.2.1-2
typst 1:0.12.0-2
udiskie 2.5.3-1
udisks2 2.10.1-5
ueberzugpp 2.9.6-3
ufw 0.36.2-4
unace 2.5-11
unarchiver 1.10.8-3
unrar 1:7.0.9-1
unzip 6.0-21
vault 1.18.0-1
vdhcoapp-bin 2.0.20-2
via-bin 3.0.0-0
virt-manager 4.1.0-3
virtualbox 7.1.4-1
virtualbox-guest-iso 7.1.4-1
virtualbox-host-dkms 7.1.4-1
vkbasalt-git 0.3.2.10.r0.g4f97f09-1
vkd3d 1.11-1
vlc 3.0.21-6
vulkan-tools 1.3.269-1
w3m 0.5.3.git20230713_1-1
waifu2x-ncnn-vulkan 20220728-3
watson 2.1.0-4
waybar 0.11.0-3
wdiff 1.2.2-5
webp-pixbuf-loader 0.2.7-1
wev 1.0.0-13
wezterm 20240203.110809.5046fc22-2
wf-recorder 0.5.0-1
wget 1.24.5-3
whois 5.5.23-1
wine 9.20-1
winetricks 20240105-1
wireguard-tools 1.0.20210914-2
wireless_tools 30.pre9-4
wireplumber 0.5.6-1
wl-clip-persist-git 0.4.3.r0.gd9fc917-1
wl-clipboard 1:2.2.1-2
wlogout 1.2.2-0
wlr-randr 0.4.1-4
wlrctl 0.2.2-2
wofi 1.4.1-1
wqy-zenhei 0.9.45-10
wtype 0.4-2
xclip 0.13-5
xcompmgr 1.1.9-3
xdg-desktop-portal-gtk 1.15.1-2
xdg-desktop-portal-hyprland 1.3.3-2
xdg-user-dirs 0.18-2
xdotool 3.20211022.1-2
xinit-xsession 1-5
xkeysnail 0.4.0-3
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-server-devel 21.1.13-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.9-2
xorg-xinit 1.4.2-2
xorg-xlsclients 1.1.5-2
xorg-xwayland 24.1.3-1
xplr 0.21.9-1
xss-lock 0.3.0.r27.g0c562bf-1
yarn 1.22.22-2
yazi 0.3.3-1
yt-dlp 2024.10.07-1
zathura 0.5.8-1
zathura-pdf-poppler 0.3.3-1
zellij 0.40.1-1
zig 0.13.0-1
zip 3.0-11
zoom 6.2.3-1
zoxide 0.9.6-1
